AGENCY,TRANSACTION_DATE,TRANSACTION_AMOUNT,VENDOR_NAME,VENDOR_STATE_PROVINCE,MCC_DESCRIPTION,DCS_LAST_MOD_DTTM,OBJECTID
Fire & Emergency Medical Services,2024/05/03 04:00:00+00,453.93,ULINE,WI,DIRECT MARKETING-CATALOG MERCHANTS,2024/06/11 15:15:49+00,530261
Fire & Emergency Medical Services,2024/05/03 04:00:00+00,1223.02,ULINE,WI,DIRECT MARKETING-CATALOG MERCHANTS,2024/06/11 15:15:49+00,530262
District Department of Transportation,2024/05/03 04:00:00+00,19.95,TWILIO SENDGRID,CA,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,530276
DC Public Library,2024/05/03 04:00:00+00,659.38,BKGHOTEL AT BOOKING.C,NY,TRAVEL AGENCIES AND TOUR OPERATORS,2024/06/11 15:15:49+00,530280
DC Public Library,2024/05/03 04:00:00+00,339.96,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,530281
District of Columbia Public Schools,2024/05/03 04:00:00+00,617.5,"THE BRUMAN GROUP, PLLC",DC,BOOKS PERIODICALS AND NEWSPAPERS,2024/06/11 15:15:49+00,530283
DC National Guard,2024/05/03 04:00:00+00,50.98,BIB BACKGROUND CHECKS,NC,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,530285
District Department of Transportation,2024/05/03 04:00:00+00,564.24,HOTEL ROANOAKE,VA,LODGING-HOTELS MOTELS RESORTS-NOT CLASSIFIED,2024/06/11 15:15:49+00,530288
District Department of Transportation,2024/05/03 04:00:00+00,564.24,HOTEL ROANOAKE,VA,LODGING-HOTELS MOTELS RESORTS-NOT CLASSIFIED,2024/06/11 15:15:49+00,530289
District Department of Transportation,2024/05/03 04:00:00+00,564.24,HOTEL ROANOAKE,VA,LODGING-HOTELS MOTELS RESORTS-NOT CLASSIFIED,2024/06/11 15:15:49+00,530290
"Department of Insurance, Securities & Banking",2024/05/03 04:00:00+00,2978,CDW GOVT #RC30385,IL,COMPUTERS  COMPUTER PERIPHERAL EQUIPMENT  SOFTWARE,2024/06/11 15:15:49+00,530658
District of Columbia Public Schools,2024/05/03 04:00:00+00,248.21,AMERICAN AIRLINES,OK,AMERICAN AIRLINES,2024/06/11 15:15:49+00,530664
Office of the Chief Medical Examiner,2024/05/03 04:00:00+00,621.71,MARRIOTT ATLANTA MARQU,GA,MARRIOTT,2024/06/11 15:15:49+00,530665
Department of Health,2024/05/03 04:00:00+00,621.71,MARRIOTT ATLANTA MARQU,GA,MARRIOTT,2024/06/11 15:15:49+00,530673
District of Columbia Public Schools,2024/05/03 04:00:00+00,282.24,CURRICULUM ASSOC,MA,BOOK STORES,2024/06/11 15:15:49+00,531068
District of Columbia Public Schools,2024/05/03 04:00:00+00,44,JONES SCHOOL SUPPLY CO,SC,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,531069
Department of Health,2024/05/03 04:00:00+00,845,NASEMSO,VA,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,531075
Department of Health,2024/05/03 04:00:00+00,549.95,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,531076
Department of Health,2024/05/03 04:00:00+00,358.19,AMERICAN AIRLINES,OK,AMERICAN AIRLINES,2024/06/11 15:15:49+00,531077
Department of Health,2024/05/03 04:00:00+00,25.28,AMERICAN AIRLINES,OK,AMERICAN AIRLINES,2024/06/11 15:15:49+00,531078
Fire & Emergency Medical Services,2024/05/03 04:00:00+00,815.46,SP IMPACT DOG CRATES,ID,PET SHOPS - PET FOODS AND SUPPLIES,2024/06/11 15:15:49+00,531081
Fire & Emergency Medical Services,2024/05/03 04:00:00+00,2090,PAYPAL,CA,SCHOOLS  BUSINESS AND SECRETARIAL,2024/06/11 15:15:49+00,531083
Fire & Emergency Medical Services,2024/05/03 04:00:00+00,2090,PAYPAL,CA,SCHOOLS  BUSINESS AND SECRETARIAL,2024/06/11 15:15:49+00,531084
Fire & Emergency Medical Services,2024/05/03 04:00:00+00,2090,PAYPAL,CA,SCHOOLS  BUSINESS AND SECRETARIAL,2024/06/11 15:15:49+00,531085
District of Columbia Public Schools,2024/05/03 04:00:00+00,125,SHAKESPEARE THEATRE ED,DC,THEATRICAL PRODUCERS(EXCL MOTION PIX) TICKET AGNCY,2024/06/11 15:15:49+00,531086
District of Columbia Public Schools,2024/05/03 04:00:00+00,204,WIX.COM*1114321467,NY,COMPUTER NETWORK-INFORMATION SERVICES,2024/06/11 15:15:49+00,531441
District of Columbia Public Schools,2024/05/03 04:00:00+00,660,SCOTT BUSINESS SERVICE,DC,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,531443
Department of Health,2024/05/03 04:00:00+00,3332.09,"4IMPRINT, INC",WI,DIRECT MARKETING-OTHER DIRECT MARKETERS-NOT ELSEW.,2024/06/11 15:15:49+00,531444
District of Columbia Public Schools,2024/05/03 04:00:00+00,80.8,SP PINK MONTESSORI,BC,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,531445
District of Columbia Public Schools,2024/05/03 04:00:00+00,238.5,SP PINK MONTESSORI,BC,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,531446
District of Columbia Public Schools,2024/05/03 04:00:00+00,145.12,SP PINK MONTESSORI,BC,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,531447
District of Columbia Public Schools,2024/05/03 04:00:00+00,160.95,SMALLHANDS-MONTESSORIS,CA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,531454
District of Columbia Public Schools,2024/05/03 04:00:00+00,184.63,SMALLHANDS-MONTESSORIS,CA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,531455
District of Columbia Public Schools,2024/05/03 04:00:00+00,121.4,SMALLHANDS-MONTESSORIS,CA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,531456
District of Columbia Public Schools,2024/05/03 04:00:00+00,118.65,SMALLHANDS-MONTESSORIS,CA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,531457
District of Columbia Public Schools,2024/05/03 04:00:00+00,311.19,SMALLHANDS-MONTESSORIS,CA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,531458
District of Columbia Public Schools,2024/05/03 04:00:00+00,86.8,SMALLHANDS-MONTESSORIS,CA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,531459
District of Columbia Public Schools,2024/05/03 04:00:00+00,101.8,SMALLHANDS-MONTESSORIS,CA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,531460
District of Columbia Public Schools,2024/05/03 04:00:00+00,99.2,SMALLHANDS-MONTESSORIS,CA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,531461
Fire & Emergency Medical Services,2024/05/03 04:00:00+00,45,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,531462
Fire & Emergency Medical Services,2024/05/03 04:00:00+00,549,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,531463
Fire & Emergency Medical Services,2024/05/03 04:00:00+00,4494,B&H PHOTO 800-606-6969,NY,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,531464
Office of Contracting & Procurement,2024/05/03 04:00:00+00,-8.67,RWLV HOTEL FRONT DESK,NV,HILTON,2024/06/11 15:15:49+00,546702
Office of Contracting & Procurement,2024/05/03 04:00:00+00,-151.72,RWLV HOTEL FRONT DESK,NV,HILTON,2024/06/11 15:15:49+00,546703
District of Columbia Public Schools,2024/05/02 04:00:00+00,645,U.S. OFFICE SOLUTIONS,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,525313
Department of Health,2024/05/02 04:00:00+00,1367.16,OMNI WILLIAM PENN ONLI,PA,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,525337
Department of Health,2024/05/02 04:00:00+00,1367.16,OMNI WILLIAM PENN ONLI,PA,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,525338
Department of Health,2024/05/02 04:00:00+00,1367.16,OMNI WILLIAM PENN ONLI,PA,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,525339
District of Columbia Public Schools,2024/05/02 04:00:00+00,931,WWW.COEDCULTURE.COM,MD,MENS AND WOMENS CLOTHING STORES,2024/06/11 15:15:49+00,525722
District of Columbia Public Schools,2024/05/02 04:00:00+00,759.5,THE HAMILTON GROUP,DC,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,525725
Fire & Emergency Medical Services,2024/05/02 04:00:00+00,46.99,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,525726
Fire & Emergency Medical Services,2024/05/02 04:00:00+00,1575.44,AMAZON MAR* 112-805143,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,525727
Department of Motor Vehicles,2024/05/02 04:00:00+00,1219.86,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,525732
Department of Motor Vehicles,2024/05/02 04:00:00+00,83.65,GRAINGER,IL,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,525733
District of Columbia Public Schools,2024/05/02 04:00:00+00,1197.9,BIL*EPIPHANY EDUCATION,DE,ACCOUNTING  AUDITING AND BOOKKEEPING SERVICES,2024/06/11 15:15:49+00,525740
Fire & Emergency Medical Services,2024/05/02 04:00:00+00,1124.25,SUCCESSORIES,FL,GIFT  CARD  NOVELTY AND SOUVENIR SHOPS,2024/06/11 15:15:49+00,525742
District Department of Transportation,2024/05/02 04:00:00+00,44.1,CPI*COLEPARMERINSTRUMT,IL,DENTAL-LAB-MED-OPHTHALMIC HOSP EQUIP + SUPPLIES,2024/06/11 15:15:49+00,525744
District Department of Transportation,2024/05/02 04:00:00+00,344.5,THE BUSINESS JOURNALS,NC,DIRECT MARKETING-OTHER DIRECT MARKETERS-NOT ELSEW.,2024/06/11 15:15:49+00,526136
District Department of Transportation,2024/05/02 04:00:00+00,1375.36,AMERICAN PLANNING ASSO,IL,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,526142
District Department of the Environment,2024/05/02 04:00:00+00,1350,CVENT* HORIZONS 2024 -,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,526143
District Department of the Environment,2024/05/02 04:00:00+00,115.94,PUBLIC PERFORMANCE MAN,DC,COMP PROGRAMING DATA PRCSNG INTGRTD SYS DSGN SRVS,2024/06/11 15:15:49+00,526144
District Department of the Environment,2024/05/02 04:00:00+00,635,Q MATIC CORPORATION,GA,COMP PROGRAMING DATA PRCSNG INTGRTD SYS DSGN SRVS,2024/06/11 15:15:49+00,526145
Office of the Attorney General,2024/05/02 04:00:00+00,250,COURTS/USDC-NJ-03,NJ,COURT COSTS INCLUDING ALIMONY AND CHILD SUPPORT,2024/06/11 15:15:49+00,526150
"Department of Insurance, Securities & Banking",2024/05/02 04:00:00+00,2471.53,VISUAL CLICK SOFTWARE,TX,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,526155
District of Columbia Public Schools,2024/05/02 04:00:00+00,2850,CENTER FOR RESPONSIVE,MA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,526527
District of Columbia Public Schools,2024/05/02 04:00:00+00,429.59,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,526536
Fire & Emergency Medical Services,2024/05/02 04:00:00+00,2024.06,JONES & BARTLETT LEARN,MA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,526542
DC Public Library,2024/05/02 04:00:00+00,100.8,DOOR CLOSER SERVICE CO,MD,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,526550
DC Public Library,2024/05/02 04:00:00+00,150,BLACK CAUCUS OF THE AM,NC,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,526552
DC Public Library,2024/05/02 04:00:00+00,400,BLACK CAUCUS OF THE AM,NC,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,526553
District of Columbia Public Schools,2024/05/02 04:00:00+00,795,SQ *THE MAGIC OF JOE R,VA,BANDS  ORCHESTRAS  + MISC ENTRTNRS-NOT ELSWHR CLAS,2024/06/11 15:15:49+00,526558
Department of Health,2024/05/02 04:00:00+00,845,NASEMSO,VA,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,526566
Department of Health,2024/05/02 04:00:00+00,845,NASEMSO,VA,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,526567
Department of Health,2024/05/02 04:00:00+00,845,NASEMSO,VA,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,526568
Office of the Chief Financial Officer,2024/05/02 04:00:00+00,497.5,AIRS,GA,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,526942
Office of the Chief Financial Officer,2024/05/02 04:00:00+00,497.5,AIRS,GA,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,526943
District of Columbia Public Schools,2024/05/02 04:00:00+00,237.96,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,526945
Office of the Chief Technology Officer,2024/05/02 04:00:00+00,4999,"CAPSTORM, LLC",FL,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,526949
District of Columbia Public Schools,2024/05/02 04:00:00+00,2500,IN *EDCONNECTIVE,VA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,526958
District of Columbia Public Schools,2024/05/02 04:00:00+00,4999.7,"IN *SKYCON MEDIA, LLC",MD,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,526963
District of Columbia Public Schools,2024/05/02 04:00:00+00,282.18,LINKEDIN ADS 951841308,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,526968
Department of Parks & Recreation,2024/05/02 04:00:00+00,278,LOWES #00907,NC,HOME SUPPLY WAREHOUSE STORES,2024/06/11 15:15:49+00,526971
Department of Motor Vehicles,2024/05/02 04:00:00+00,500,AIIPAONLINE.ORG,OK,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,526972
Department of Motor Vehicles,2024/05/02 04:00:00+00,150,AIIPAONLINE.ORG,OK,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,526973
Department of Motor Vehicles,2024/05/02 04:00:00+00,1329.95,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,526974
Department of Motor Vehicles,2024/05/02 04:00:00+00,322,WASHINGTON TROPHY CENT,VA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,526976
District Department of the Environment,2024/05/02 04:00:00+00,103,AMTRAK .CO12,DC,PASSENGER RAILWAYS,2024/06/11 15:15:49+00,526978
District Department of the Environment,2024/05/02 04:00:00+00,171,AMTRAK .CO12,DC,PASSENGER RAILWAYS,2024/06/11 15:15:49+00,526979
District Department of the Environment,2024/05/02 04:00:00+00,129,SENODA INC,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,526980
District of Columbia Public Schools,2024/05/02 04:00:00+00,71.78,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,527342
Department of Housing & Community Development,2024/05/02 04:00:00+00,886.2,UNITED AIRLINES,IL,UNITED AIRLINES,2024/06/11 15:15:49+00,527380
Department of Housing & Community Development,2024/05/02 04:00:00+00,171,UNITED AIRLINES,IL,UNITED AIRLINES,2024/06/11 15:15:49+00,527381
Department of Housing & Community Development,2024/05/02 04:00:00+00,171,UNITED AIRLINES,IL,UNITED AIRLINES,2024/06/11 15:15:49+00,527382
District Department of the Environment,2024/05/02 04:00:00+00,438,SENODA INC,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,527780
District of Columbia Public Schools,2024/05/02 04:00:00+00,476.96,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,527793
District of Columbia Public Schools,2024/05/02 04:00:00+00,797.91,COURTYARD - TAMPA,FL,COURTYARD BY MARRIOTT,2024/06/11 15:15:49+00,527794
Fire & Emergency Medical Services,2024/05/02 04:00:00+00,353.38,SAFEWARE-MOTO,MD,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,528196
District Department of the Environment,2024/05/02 04:00:00+00,10,UNITED AIRLINES,TX,UNITED AIRLINES,2024/06/11 15:15:49+00,528199
District Department of the Environment,2024/05/02 04:00:00+00,10,UNITED AIRLINES,TX,UNITED AIRLINES,2024/06/11 15:15:49+00,528200
District Department of the Environment,2024/05/02 04:00:00+00,986.2,MARRIOTT PORTLAND OR,OR,MARRIOTT,2024/06/11 15:15:49+00,528201
District Department of the Environment,2024/05/02 04:00:00+00,981.4,MARRIOTT PORTLAND OR,OR,MARRIOTT,2024/06/11 15:15:49+00,528202
District Department of the Environment,2024/05/02 04:00:00+00,774,SENODA INC,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,528203
District of Columbia Public Schools,2024/05/02 04:00:00+00,773.93,U.S. OFFICE SOLUTIONS,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,528601
District Department of Transportation,2024/05/02 04:00:00+00,1950.13,FASTSIGNS OF DC,DC,COMMERCIAL ART  GRAPHICS  PHOTOGRAPHY,2024/06/11 15:15:49+00,528620
District Department of the Environment,2024/05/02 04:00:00+00,398.97,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,529025
Office of the Attorney General,2024/05/02 04:00:00+00,277.75,VERITEXT LEGAL SOLUTIO,NJ,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,529421
District Department of the Environment,2024/05/02 04:00:00+00,142.44,BASS PRO CATALOG U.S.,MO,SPORTING GOODS STORES,2024/06/11 15:15:49+00,529853
Office of the Attorney General,2024/05/02 04:00:00+00,1390.88,EB COMMUNITY VIOLENCE,CA,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,530242
Department of Housing & Community Development,2024/05/02 04:00:00+00,43.56,AMAZON.COM*QU2G75BF3,WA,BOOK STORES,2024/06/11 15:15:49+00,530249
Department of Housing & Community Development,2024/05/02 04:00:00+00,41.33,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,530250
District of Columbia Public Schools,2024/05/02 04:00:00+00,369.9,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,530251
District of Columbia Public Schools,2024/05/02 04:00:00+00,181.11,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,530265
District of Columbia Public Schools,2024/05/02 04:00:00+00,153.73,LOGAN HARDWARE,DC,HARDWARE STORES,2024/06/11 15:15:49+00,530267
District of Columbia Public Schools,2024/05/02 04:00:00+00,-8.7,LOGAN HARDWARE,DC,HARDWARE STORES,2024/06/11 15:15:49+00,530268
District of Columbia Public Schools,2024/05/02 04:00:00+00,259,NAESP,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,530637
District of Columbia Public Schools,2024/05/02 04:00:00+00,2962.93,RIVERSIDE INSIGHTS,IL,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,530638
DC National Guard,2024/05/02 04:00:00+00,114.53,CDW GOVT #RB69677,IL,COMPUTERS  COMPUTER PERIPHERAL EQUIPMENT  SOFTWARE,2024/06/11 15:15:49+00,530639
District of Columbia Public Schools,2024/05/02 04:00:00+00,1008,SCOTT BUSINESS SERVICE,DC,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,530641
District of Columbia Public Schools,2024/05/02 04:00:00+00,664,SCOTT BUSINESS SERVICE,DC,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,530642
"Department of Insurance, Securities & Banking",2024/05/02 04:00:00+00,514.97,BANNERS ON THE CHEAP,TX,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,530643
District Department of the Environment,2024/05/02 04:00:00+00,900,CVENT* MEETING SOLUTIO,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,530650
District of Columbia Public Schools,2024/05/02 04:00:00+00,19.88,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,530651
District of Columbia Public Schools,2024/05/02 04:00:00+00,990,IN *BATTLE'S TRANSPORT,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,530655
District of Columbia Public Schools,2024/05/02 04:00:00+00,4137.51,BARON TOURS,MD,TRANSPRTN-SUBRBN + LOCAL COMTR PSNGR  INCL FERRIES,2024/06/11 15:15:49+00,531036
District of Columbia Public Schools,2024/05/02 04:00:00+00,2678,BARON TOURS,MD,TRANSPRTN-SUBRBN + LOCAL COMTR PSNGR  INCL FERRIES,2024/06/11 15:15:49+00,531037
District of Columbia Public Schools,2024/05/02 04:00:00+00,1366.84,THE CALVIN PRICE GROUP,MD,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,531038
District of Columbia Public Schools,2024/05/02 04:00:00+00,55.09,STAPLES       00115618,MD,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,531042
District Department of the Environment,2024/05/02 04:00:00+00,420,"MICHAEL A SAURI, MD PA",MD,DOCTORS  (NOT ELSEWHERE CLASSIFIED),2024/06/11 15:15:49+00,531046
District Department of the Environment,2024/05/02 04:00:00+00,2693.37,ANNIES ACE HARDWARE,DC,HARDWARE STORES,2024/06/11 15:15:49+00,531047
District Department of the Environment,2024/05/02 04:00:00+00,258.86,ANNIES ACE HARDWARE,DC,HARDWARE STORES,2024/06/11 15:15:49+00,531048
District Department of the Environment,2024/05/02 04:00:00+00,204.98,ANNIES ACE HARDWARE,DC,HARDWARE STORES,2024/06/11 15:15:49+00,531049
District Department of the Environment,2024/05/02 04:00:00+00,414.99,ANNIES ACE HARDWARE,DC,HARDWARE STORES,2024/06/11 15:15:49+00,531050
District Department of the Environment,2024/05/02 04:00:00+00,21.98,ANNIES ACE HARDWARE,DC,HARDWARE STORES,2024/06/11 15:15:49+00,531051
District of Columbia Public Schools,2024/05/02 04:00:00+00,1840.75,"TOTAL OFFICE PRODUCTS,",DC,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,531052
Fire & Emergency Medical Services,2024/05/02 04:00:00+00,129,B2B PRIME*Y56839MH3,WA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,531056
Fire & Emergency Medical Services,2024/05/02 04:00:00+00,249.9,DISPUTE REBILL,IL,BOOK STORES,2024/06/11 15:15:49+00,531429
District of Columbia Public Schools,2024/05/01 04:00:00+00,277.83,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,525290
District of Columbia Public Schools,2024/05/01 04:00:00+00,947,SPORTSMARKIT.COM,DC,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,525291
District of Columbia Public Schools,2024/05/01 04:00:00+00,2499,PAYPAL,CA,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,525294
Department of Small & Local Business Development,2024/05/01 04:00:00+00,180.2,THE BUSINESS JOURNALS,NC,DIRECT MARKETING-OTHER DIRECT MARKETERS-NOT ELSEW.,2024/06/11 15:15:49+00,525298
District Department of the Environment,2024/05/01 04:00:00+00,4995,"QUANTAQ, INC",MA,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,525299
District Department of the Environment,2024/05/01 04:00:00+00,1072.64,PUBLIC PERFORMANCE MAN,DC,COMP PROGRAMING DATA PRCSNG INTGRTD SYS DSGN SRVS,2024/06/11 15:15:49+00,525300
District of Columbia Public Schools,2024/05/01 04:00:00+00,54.78,AMAZON.COM*256BH4HN3,WA,BOOK STORES,2024/06/11 15:15:49+00,525304
District of Columbia Public Schools,2024/05/01 04:00:00+00,73.98,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,525305
District of Columbia Public Schools,2024/05/01 04:00:00+00,2500,COAST2COAST,DC,TRAVEL AGENCIES AND TOUR OPERATORS,2024/06/11 15:15:49+00,525701
"Department of Insurance, Securities & Banking",2024/05/01 04:00:00+00,487.21,FEDEX,TN,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,525711
District of Columbia Public Schools,2024/05/01 04:00:00+00,24,LINODE . AKAMAI,MA,COMPUTER NETWORK-INFORMATION SERVICES,2024/06/11 15:15:49+00,525712
Office of the Mayor,2024/05/01 04:00:00+00,2475,IN *COSTA MEDIA BOSTON,CA,ADVERTISING SERVICES,2024/06/11 15:15:49+00,525720
Office of the Mayor,2024/05/01 04:00:00+00,8193,GREAT AMERICAN CORP,MD,CATERERS,2024/06/11 15:15:49+00,525721
